,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,999612.0327209473
2,2019-01-04,999905.0060409546
3,2019-01-07,999877.2134624481
4,2019-01-08,1000149.0467086792
5,2019-01-09,1000457.9284793853
6,2019-01-10,1000525.9827381134
7,2019-01-11,1000264.1117004395
8,2019-01-14,999813.0387973785
9,2019-01-15,1000484.0738155365
10,2019-01-16,1000936.9743274688
11,2019-01-17,1001180.3115058898
12,2019-01-18,1001457.8013286589
13,2019-01-22,1000336.5711921691
14,2019-01-23,1000544.7791976928
15,2019-01-24,1000094.145998764
16,2019-01-25,1002067.3825420379
17,2019-01-28,1001457.4564319609
18,2019-01-29,1000741.5746097564
19,2019-01-30,1005641.8738567351
20,2019-01-31,1006219.0153667448
21,2019-02-01,1006255.9827068327
22,2019-02-04,1008792.9557224272
23,2019-02-05,1010434.3798103331
24,2019-02-06,1010465.2919052123
25,2019-02-07,1008446.4573566436
26,2019-02-08,1008569.8214637756
27,2019-02-11,1007916.7314620971
28,2019-02-12,1008915.1093570709
29,2019-02-13,1008405.9651039123
30,2019-02-14,1008857.9417022704
31,2019-02-15,1008564.866398239
32,2019-02-19,1008960.9067821502
33,2019-02-20,1009846.9233676909
34,2019-02-21,1009033.9231090544
35,2019-02-22,1010669.1380901336
36,2019-02-25,1011777.3031333922
37,2019-02-26,1011863.7434745787
38,2019-02-27,1012362.7206554412
39,2019-02-28,1010713.3725963591
40,2019-03-01,1012494.4656593321
41,2019-03-04,1013374.9754535673
42,2019-03-05,1013041.0639480589
43,2019-03-06,1011971.6996273039
44,2019-03-07,1009787.7291854856
45,2019-03-08,1010235.9810573576
46,2019-03-11,1016989.0084117887
47,2019-03-12,1019301.4164569853
48,2019-03-13,1020238.6912853239
49,2019-03-14,1022661.5803447722
50,2019-03-15,1025587.6585445403
51,2019-03-18,1027959.4781509398
52,2019-03-19,1026054.7558002471
53,2019-03-20,1028168.7742137908
54,2019-03-21,1037341.424223709
55,2019-03-22,1031887.4764430999
56,2019-03-25,1028710.3821174621
57,2019-03-26,1025984.1046568111
58,2019-03-27,1028365.8441449183
59,2019-03-28,1028722.4597891335
60,2019-03-29,1030525.2797960839
61,2019-04-01,1032447.8906128621
62,2019-04-02,1036664.701292239
63,2019-04-03,1038712.1697584795
64,2019-04-04,1039240.3304697959
65,2019-04-05,1041321.1430050067
66,2019-04-08,1046327.7824888576
67,2019-04-09,1045338.2360503242
68,2019-04-10,1047198.8748482543
69,2019-04-11,1044371.3368365947
70,2019-04-12,1044229.308470398
71,2019-04-15,1044850.5115373676
72,2019-04-16,1044880.9074815197
73,2019-04-17,1051814.5567086444
74,2019-04-18,1053132.9193231908
75,2019-04-22,1054358.9344094784
76,2019-04-23,1059846.3512587408
77,2019-04-24,1059237.6257673046
78,2019-04-25,1055640.0865381234
79,2019-04-26,1053738.3390254402
80,2019-04-29,1054340.8752245582
81,2019-04-30,1046517.0405381138
82,2019-05-01,1066300.690273964
83,2019-05-02,1063509.616291795
84,2019-05-03,1068855.4201831191
85,2019-05-06,1062040.2393841555
86,2019-05-07,1050193.295139732
87,2019-05-08,1050273.5678233108
88,2019-05-09,1045568.258846803
89,2019-05-10,1039499.6415968144
90,2019-05-13,1014126.1579106862
91,2019-05-14,1020702.141148637
92,2019-05-15,1025811.6145816301
93,2019-05-16,1023885.4833762622
94,2019-05-17,1021383.6525656586
95,2019-05-20,1007568.6966142888
96,2019-05-21,1015852.6895917827
97,2019-05-22,1006733.5589374772
98,2019-05-23,999207.9635233912
99,2019-05-24,997523.2011234898
100,2019-05-28,995698.5051365221
101,2019-05-29,993582.3130361525
102,2019-05-30,995886.2944578459
103,2019-05-31,987698.0143629926
104,2019-06-03,983165.4780479609
105,2019-06-04,999537.1165358529
106,2019-06-05,1007094.5839366971
107,2019-06-06,1014144.3228043698
108,2019-06-07,1027237.8458627167
109,2019-06-10,1033748.9464718106
110,2019-06-11,1039778.6453364494
111,2019-06-12,1038080.9209200973
112,2019-06-13,1037965.8614340668
113,2019-06-14,1034041.4198757393
114,2019-06-17,1037261.9264357502
115,2019-06-18,1050157.9511902607
116,2019-06-19,1048497.867483183
117,2019-06-20,1053069.5960448398
118,2019-06-21,1051090.6100989059
119,2019-06-24,1050500.2889956383
120,2019-06-25,1041609.2206931708
121,2019-06-26,1054196.4298800875
122,2019-06-27,1054011.4290767114
123,2019-06-28,1048499.0618151336
124,2019-07-01,1059568.209429762
125,2019-07-02,1063191.9920328492
126,2019-07-03,1068394.9213248442
127,2019-07-05,1067827.487104718
128,2019-07-08,1054564.4385611797
129,2019-07-09,1058431.6792907924
130,2019-07-10,1064791.490499393
