date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2019-01-02,-21.37331199645996,52.06637954711914,-53.6219482421875,-65.6938705444336,-18.753524780273438,-100.0,63.854915618896484,-100.0,100.0,45.08156204223633,67.2760238647461,-5.94760799407959,-100.0,77.3897476196289,-81.86323547363281,32.04925537109375,-100.0,100.0,100.0,35.214881896972656,35.38003921508789,100.0,1.8042385578155518,-100.0,100.0,-45.26973342895508,100.0,-100.0,-30.008337020874023,58.854007720947266
2019-01-03,-48.265869140625,-100.0,28.14784049987793,-70.12242126464844,36.84490203857422,8.411364555358887,-100.0,-43.57075500488281,-50.739192962646484,7.338518142700195,67.31710815429688,13.646411895751953,69.36363220214844,-59.58974838256836,33.443267822265625,100.0,8.12324333190918,62.58972930908203,100.0,1.623763084411621,-100.0,87.82270050048828,-100.0,56.97529220581055,58.692413330078125,100.0,-100.0,25.38142204284668,-40.8193473815918,70.37366485595703
2019-01-04,66.79548645019531,-100.0,-15.596336364746094,15.083869934082031,-20.650676727294922,-32.12530517578125,76.284423828125,100.0,-65.92837524414062,-0.03834366798400879,100.0,-100.0,-60.535770416259766,-25.556350708007812,-100.0,46.210113525390625,-54.85832214355469,-100.0,-1.6474664211273193,-59.92865753173828,-100.0,-100.0,5.388742446899414,-100.0,100.0,100.0,100.0,-100.0,-73.52293395996094,-75.03250122070312
2019-01-07,-61.159019470214844,9.40368366241455,-77.76932525634766,-100.0,-2.661569356918335,32.277000427246094,8.882347106933594,-100.0,100.0,-77.12789154052734,-100.0,87.88636016845703,-63.15185546875,-100.0,-100.0,27.02527618408203,-100.0,-100.0,100.0,23.264516830444336,-100.0,77.44999694824219,-57.44097137451172,0.5016982555389404,100.0,98.5367660522461,4.673269271850586,-100.0,-70.47834777832031,100.0
2019-01-08,-93.0470199584961,-100.0,-59.2702751159668,100.0,74.05350494384766,24.130680084228516,10.740755081176758,-14.027437210083008,75.1071548461914,-100.0,100.0,100.0,-17.010665893554688,-87.3870849609375,-23.467287063598633,36.66364288330078,36.7381706237793,-96.51873016357422,-100.0,29.440399169921875,-30.909955978393555,95.72061157226562,-82.1067123413086,23.290788650512695,100.0,100.0,100.0,-11.4546537399292,100.0,100.0
2019-01-09,100.0,-47.14116287231445,-16.423255920410156,25.501617431640625,-63.021575927734375,47.389793395996094,-100.0,53.6285400390625,100.0,100.0,100.0,100.0,9.127937316894531,7.882391452789307,100.0,-10.322385787963867,28.423887252807617,-100.0,100.0,-63.83612060546875,-68.86578369140625,60.259037017822266,31.1798095703125,-100.0,100.0,100.0,100.0,-77.04900360107422,-71.03494262695312,-55.293907165527344
2019-01-10,100.0,-51.797889709472656,-3.347659111022949,-11.119376182556152,-90.7177963256836,-100.0,-37.899478912353516,-63.00776672363281,53.251625061035156,5.549544334411621,100.0,-6.716477870941162,-50.55281066894531,36.73813247680664,-100.0,36.64631271362305,-55.04729080200195,-100.0,100.0,2.3461415767669678,-100.0,100.0,-32.51510238647461,-33.460872650146484,100.0,100.0,-7.283905029296875,-79.67292022705078,2.7722179889678955,100.0
2019-01-11,-100.0,81.15546417236328,-48.1765022277832,100.0,53.28024673461914,-57.991676330566406,100.0,-100.0,71.2446517944336,51.28335189819336,-100.0,-100.0,-30.709064483642578,23.219358444213867,67.8328857421875,5.267590522766113,-100.0,-48.972755432128906,-24.039113998413086,-42.028228759765625,100.0,100.0,30.511695861816406,-94.00621795654297,100.0,99.1537094116211,-76.54349517822266,-73.0671615600586,-26.730472564697266,99.93126678466797
2019-01-14,-100.0,-31.988542556762695,70.43949127197266,100.0,100.0,3.9789273738861084,-100.0,-38.34403991699219,66.67386627197266,-12.254876136779785,67.60865020751953,6.901854515075684,100.0,50.986785888671875,-100.0,100.0,-44.211143493652344,-5.07880163192749,-63.39194869995117,14.693230628967285,97.585693359375,6.968270301818848,-100.0,-9.996464729309082,100.0,-100.0,17.876968383789062,-90.92975616455078,89.72364807128906,-100.0
2019-01-15,100.0,84.17852783203125,-51.02494812011719,-85.10205841064453,-86.51285552978516,65.97059631347656,-100.0,31.37015724182129,-97.88227081298828,-100.0,-49.16348648071289,42.798587799072266,1.4195047616958618,100.0,-16.45871925354004,93.14482116699219,-100.0,2.1661252975463867,50.61604309082031,100.0,-100.0,-34.15542221069336,41.257225036621094,47.45932388305664,23.29859161376953,-53.73711013793945,100.0,-100.0,-33.610862731933594,-73.72715759277344
2019-01-16,-50.390602111816406,19.067180633544922,78.05450439453125,-18.0943546295166,-100.0,-100.0,100.0,89.9275894165039,100.0,-13.72089958190918,-71.21293640136719,-21.061962127685547,-70.39466857910156,57.72100830078125,54.892765045166016,100.0,-100.0,-100.0,100.0,100.0,-100.0,-69.40229797363281,-82.82829284667969,-1.5323281288146973,-17.19207763671875,-100.0,100.0,-100.0,64.27957153320312,100.0
2019-01-17,-84.02843475341797,-82.61593627929688,62.872737884521484,100.0,50.86037063598633,-100.0,-18.653663635253906,100.0,49.89308547973633,-100.0,-1.969595193862915,-29.03274917602539,-100.0,100.0,-11.440813064575195,100.0,-100.0,28.18818473815918,100.0,100.0,-27.02782440185547,23.383716583251953,-62.119346618652344,10.48097038269043,100.0,100.0,54.360294342041016,82.31245422363281,-100.0,15.694940567016602
2019-01-18,-100.0,-86.56798553466797,-21.78912925720215,49.915771484375,-56.09394836425781,-100.0,-44.491600036621094,95.79747009277344,100.0,-100.0,-57.576751708984375,100.0,-100.0,35.95832061767578,-86.91816711425781,100.0,64.26016998291016,100.0,57.502601623535156,72.65373992919922,-100.0,-100.0,-100.0,-74.83213806152344,60.91775894165039,31.008380889892578,100.0,-80.90536499023438,-13.11805534362793,79.97833251953125
2019-01-22,-88.26720428466797,-100.0,-62.644683837890625,2.7985544204711914,-100.0,-100.0,39.07273864746094,-87.04855346679688,-8.844083786010742,-100.0,100.0,100.0,37.311710357666016,-100.0,-100.0,100.0,88.20951843261719,-100.0,100.0,34.66166687011719,-15.753558158874512,50.07221603393555,-100.0,-88.24175262451172,29.16703224182129,-0.7204055786132812,100.0,-100.0,94.57203674316406,100.0
2019-01-23,-29.4498233795166,70.82830047607422,-100.0,2.0232021808624268,28.217548370361328,-3.198380708694458,-100.0,100.0,-100.0,58.36711502075195,67.99974060058594,-68.24715423583984,-86.6475830078125,45.02912139892578,-100.0,79.92595672607422,-100.0,-100.0,100.0,12.443601608276367,-42.42877197265625,-80.0803451538086,100.0,35.64543533325195,99.43526458740234,-93.51936340332031,7.972929000854492,-100.0,-77.86966705322266,82.79216003417969
2019-01-24,52.847660064697266,63.00273132324219,-100.0,100.0,67.23757934570312,48.78498458862305,-100.0,100.0,100.0,100.0,0.04642605781555176,-85.59461975097656,-72.9710693359375,3.495591878890991,-29.37264060974121,35.394596099853516,-41.781394958496094,-100.0,100.0,-100.0,-9.769323348999023,58.090084075927734,42.219451904296875,-80.0558090209961,100.0,-100.0,-61.05940246582031,-100.0,-100.0,100.0
2019-01-25,-100.0,-100.0,100.0,100.0,46.55803298950195,45.68754577636719,-100.0,100.0,100.0,100.0,100.0,-100.0,-100.0,-100.0,48.40206527709961,69.31101989746094,-7.223032474517822,-100.0,77.98818969726562,66.32279968261719,45.44411849975586,2.695721387863159,-100.0,-40.76134490966797,100.0,-29.869503021240234,-35.37331771850586,-100.0,-100.0,0.2949953079223633
2019-01-28,35.92655563354492,100.0,-24.91705322265625,35.55909729003906,-72.33417510986328,47.553436279296875,-100.0,-71.02791595458984,100.0,100.0,100.0,100.0,100.0,-100.0,-59.31946563720703,-100.0,-80.96846771240234,-0.39131641387939453,100.0,100.0,-52.89070129394531,80.41961669921875,21.620262145996094,-17.91718292236328,100.0,-100.0,-10.618525505065918,-100.0,-100.0,55.32708740234375
