,0
Annual return,0.6030122818800618
Cumulative returns,1.4705612697201071
Annual volatility,0.3486425638407855
Sharpe ratio,1.531693993157311
Calmar ratio,1.918817756880833
Stability,0.8923364346639816
Max drawdown,-0.3142624043985807
Omega ratio,1.375344359217877
Sortino ratio,2.2894027190197765
Skew,
Kurtosis,
Tail ratio,0.9714306078713731
Daily value at risk,-0.041805732236913674
Alpha,0.0
Beta,1.0
