,date,open,high,low,close,volume,tic,macd,rsi_30,cci_30,dx_30,daily_return
89,2010-09-08,7.88,7.93,7.83,7.93,1998929,AKBNK,0.01638588698626542,53.05702711166857,52.12663895107036,3.7338596064746152,0.006345177664974555
90,2010-09-13,8.12,8.12,7.93,8.07,9716599,AKBNK,0.034272665423418225,55.46535388576644,119.48587749920573,14.587554263168215,0.017654476670870167
91,2010-09-14,8.03,8.07,7.98,8.03,4486330,AKBNK,0.04470736938837305,54.63686665026489,115.24462049031109,14.587554263168222,-0.004956629491945641
92,2010-09-15,8.03,8.07,7.93,8.07,7577744,AKBNK,0.0555616583866545,55.32715556034783,113.63879670270771,8.80864790409309,0.00498132004981322
93,2010-09-16,8.03,8.12,7.93,8.12,8309704,AKBNK,0.0674183376952433,56.189224625166,136.09729132117113,13.473328388863079,0.006195786864931607
94,2010-09-17,8.17,8.17,7.93,7.98,12252191,AKBNK,0.0647781434740704,53.214740265514585,121.17191818684218,17.959346801223457,-0.01724137931034464
95,2010-09-20,8.03,8.07,7.93,8.07,3130034,AKBNK,0.0691467123585463,54.80577380923529,112.29151173908329,17.959346801223454,0.011278195488721776
96,2010-09-21,8.12,8.12,7.98,7.98,7247134,AKBNK,0.06460562311115314,52.9432404202574,104.74732006125534,22.54785882261194,-0.01115241635687736
97,2010-09-22,7.98,8.12,7.98,8.07,7631643,AKBNK,0.06748745860973049,54.541389064701015,110.37394451145845,22.547858822611953,0.011278195488721776
98,2010-09-23,8.03,8.12,7.88,7.98,10520937,AKBNK,0.06179993521066063,52.69021037293574,77.00075738449767,8.65902006729552,-0.01115241635687736
99,2010-09-24,8.03,8.12,7.98,8.07,4127519,AKBNK,0.06381605772563503,54.29496790695903,99.87357774968281,8.659020067295513,0.011278195488721776
100,2010-09-27,8.07,8.32,8.07,8.27,11981143,AKBNK,0.08061651696626804,57.601124981651225,164.63228562709716,27.450191900296655,0.024783147459727317
101,2010-09-28,8.17,8.46,8.17,8.41,5902199,AKBNK,0.10402449557652638,59.711510262610375,201.35527589544876,37.12858327339388,0.01692865779927466
102,2010-09-29,8.46,8.65,8.36,8.51,11334449,AKBNK,0.12915300515381922,61.14072450717298,232.82790980579418,47.32329155437494,0.01189060642092743
103,2010-09-30,8.56,8.61,8.36,8.56,9802485,AKBNK,0.15135596693706077,61.84090130915508,205.35714285714158,47.32329155437496,0.005875440658049458
104,2010-10-01,8.51,8.56,8.32,8.36,4073115,AKBNK,0.15107661787005178,57.550063728973605,153.26998323085456,41.79223882909848,-0.02336448598130858
105,2010-10-04,8.36,8.56,8.32,8.46,3163669,AKBNK,0.15711109564430714,59.020761420737294,148.73107122826613,41.79223882909847,0.011961722488038395
106,2010-10-05,8.46,8.61,8.36,8.51,5998047,AKBNK,0.16403605745320782,59.742184178028005,150.18895937373347,44.75480656238363,0.005910165484633412
107,2010-10-06,8.61,8.61,8.46,8.51,2910966,AKBNK,0.16759215498019664,59.742184178028005,149.3679308050556,44.75480656238362,0.0
108,2010-10-07,8.51,8.61,8.41,8.46,5324348,AKBNK,0.16448055417788154,58.637475585193144,126.45889444658154,36.79876641490551,-0.005875440658049236
109,2010-10-08,8.46,8.65,8.41,8.61,4738644,AKBNK,0.17213168665640133,60.88231017688181,128.97310513447357,39.636003581264305,0.017730496453900457
110,2010-10-11,8.65,9.04,8.56,8.99,11507762,AKBNK,0.2064723787751248,65.75324512063028,186.58114321394046,58.876868037229826,0.04413472706155641
111,2010-10-12,8.95,9.24,8.9,9.14,10561921,AKBNK,0.24298820069656912,67.41034909210757,212.9932927780367,64.99364413341782,0.016685205784204626
112,2010-10-13,9.19,9.43,9.14,9.28,6724613,AKBNK,0.27999459620022726,68.86493745495949,222.45802678739742,69.5874858324272,0.015317286652078543
113,2010-10-14,9.38,9.43,9.14,9.24,8653921,AKBNK,0.3026068356600451,67.96828951826359,193.2663163174071,69.58748583242719,-0.004310344827586077
114,2010-10-15,9.24,9.57,9.14,9.38,8550188,AKBNK,0.3280409661185377,69.41036943683132,188.13090198632358,72.61347819428677,0.015151515151515138
115,2010-10-18,9.38,9.53,9.33,9.33,4242803,AKBNK,0.3402414132325351,68.27474556146328,174.31368784795495,72.61347819428676,-0.00533049040511735
116,2010-10-19,9.33,9.43,9.14,9.19,5874324,AKBNK,0.33475586981379557,65.18556780111777,136.92884451208116,49.53941223974486,-0.015005359056806111
117,2010-10-20,9.14,9.33,9.09,9.09,5461513,AKBNK,0.31866677268733845,63.07671109539802,113.58006702608114,44.119980867935716,-0.01088139281828071
118,2010-10-21,9.19,9.28,8.99,9.24,5624247,AKBNK,0.3143944242409251,64.84168460614455,104.39236823787613,33.756478088044204,0.01650165016501659
119,2010-10-22,9.28,9.43,9.19,9.38,4713282,AKBNK,0.31863133098875984,66.39275244132807,117.44245524296592,40.60486376425914,0.015151515151515138
120,2010-10-25,9.38,9.48,9.24,9.24,3862675,AKBNK,0.3071525106916191,63.4949729560809,104.32395332875714,42.71508275610451,-0.014925373134328401
121,2010-10-26,9.24,9.28,9.14,9.19,5471333,AKBNK,0.2906704899896244,62.487341004865826,79.96211391510899,32.64008134431543,-0.005411255411255533
122,2010-10-27,9.19,9.19,8.7,8.8,10501280,AKBNK,0.24333584068100755,55.394110977291824,32.05852030045599,0.42341875247056526,-0.042437431991294794
123,2010-10-28,8.8,8.8,8.65,8.7,3967741,AKBNK,0.19550055640665143,53.77494769934163,2.4031087023209663,3.3499760819023825,-0.011363636363636576
124,2010-11-01,8.82,8.88,8.76,8.84,7453427,AKBNK,0.16696225352891858,55.65231519185935,15.82480818414268,1.5964797777477044,0.016091954022988464
125,2010-11-02,8.86,8.92,8.7,8.82,7072252,AKBNK,0.1411051289863181,55.320282012046285,9.977578475335967,2.157869032505887,-0.002262443438914019
126,2010-11-03,8.84,8.88,8.72,8.84,4910560,AKBNK,0.12083401981418973,55.59435089396894,5.927045626316753,2.157869032505878,0.0022675736961450532
127,2010-11-04,8.88,9.19,8.82,9.17,10206935,AKBNK,0.12989856817328516,59.80306517451088,46.492607738281606,16.138206374537106,0.03733031674208154
128,2010-11-05,9.23,9.26,9.05,9.07,7865735,AKBNK,0.12754323505199672,58.07751125189291,54.698023628132205,19.613329524512853,-0.010905125408942173
129,2010-11-08,8.99,9.03,8.92,8.99,6354890,AKBNK,0.11786289683684537,56.7230155048277,20.862968231387995,10.521295971236503,-0.008820286659316445
130,2010-11-09,8.97,9.05,8.88,8.99,7593814,AKBNK,0.10893541469132906,56.7230155048277,15.045592705166523,7.825522733500496,0.0
131,2010-11-10,8.99,9.07,8.92,8.97,8441026,AKBNK,0.09910413118407391,56.37128172428416,14.061742363018327,9.011718990329713,-0.0022246941045606095
132,2010-11-11,8.99,8.99,8.68,8.68,13034992,AKBNK,0.06713903130490806,51.57418573940192,-38.86126166396736,6.434022653803985,-0.03232998885172811
133,2010-11-12,8.61,8.61,8.41,8.49,17489148,AKBNK,0.02617381089162052,48.76177428256633,-109.11070172500551,20.05593346601208,-0.02188940092165892
134,2010-11-15,8.49,8.55,8.43,8.51,1869480,AKBNK,-0.00462431770462679,49.064234989743724,-112.74205385874859,20.05593346601208,0.002355712603062443
